pred,real
13433.5560965,15000.0
1513.9153628,2700.0
4153.62195012,3700.0
1701.95695383,2600.0
7323.91924026,7500.0
4349.58629914,5700.0
10274.9525729,10888.0
6265.2750664,5000.0
14828.0062558,14995.0
10285.4267469,9994.0
11501.0873347,11900.0
5701.07755407,4940.0
4630.85322181,4900.0
2412.11618085,1000.0
10302.5308041,10500.0
9297.29445896,8999.0
13819.7978628,10600.0
9666.24563785,9988.0
13162.0847116,14264.0
10195.8867243,9500.0
4228.89252332,3600.0
8472.35683004,8988.0
1725.97041918,2350.0
9769.30920362,6650.0
7747.78692061,8883.0
13621.7430215,12988.0
13692.5806041,13000.0
15516.9205904,14900.0
5209.25911425,5998.0
6299.25803716,6500.0
1889.05362847,400.0
5089.34970735,3200.0
1943.50003325,2000.0
18128.3031012,18799.0
4926.89594956,5000.0
4559.61777278,3000.0
9761.20084064,10100.0
3330.47531317,2200.0
1827.10612734,1725.0
1557.2017543,2000.0
12716.8164004,12488.0
8496.68130556,8400.0
14135.9386642,12500.0
7181.1283231,6500.0
1959.5140879,2450.0
2907.06861685,1000.0
1727.11163348,1600.0
13693.6889622,12991.0
2093.01516059,2500.0
8753.04468155,8999.0
8262.39095939,5999.0
4409.17741567,4850.0
2616.17983066,2500.0
4034.13125286,1400.0
13512.0344277,15200.0
15629.1817413,16994.0
4523.18721091,3800.0
6521.19848348,4600.0
2966.68215172,2500.0
1987.90254178,1800.0
6897.55921957,5550.0
4642.58926117,4995.0
15597.1379992,15980.0
2376.5099525,2750.0
5100.57392124,4800.0
7735.88033003,6900.0
11147.3762226,9500.0
3582.1274331,2000.0
5979.97426549,6800.0
16187.0008539,16499.0
11467.7334707,10988.0
17722.7395596,15300.0
8296.85837257,6400.0
16716.2454758,16774.0
3317.3288427,2400.0
3623.06679929,3500.0
5543.90579116,3800.0
10989.1447601,10900.0
14284.8812284,13991.0
11703.0702584,11999.0
2571.14875106,3900.0
9734.00636512,7950.0
7812.41216454,8691.0
1451.42681188,1300.0
1994.48649321,500.0
2423.68416601,2750.0
2570.84911233,3200.0
1450.42156242,350.0
5206.43562826,3975.0
10442.5742895,9900.0
4964.18191274,4500.0
