pred,real
13601.0779547,12991
14526.3606603,15588
18358.9617638,18977
13765.4112447,13981
8327.08859984,7998
16684.4220672,17988
12520.1602416,12691
9499.33511383,8999
13865.9306734,12500
11743.8368904,10982
8427.67016151,8259
15309.3913953,15740
6848.11948145,5995
20573.1407733,19979
18535.1266986,25555
14647.8403429,14900
9164.14423809,10991
12249.8371007,11991
18565.1107409,17991
8018.47206432,8950
14013.9183523,14991
14753.9000411,15900
16653.6234964,16285
20491.3471827,18777
15492.8009131,16995
14440.6601748,14250
18697.5658468,21980
16241.2552512,15500
9593.0175511,10699
16777.7388509,14994
16859.6147325,17991
14135.459289,13399
18710.826832,19991
13065.6095633,12888
12382.3492983,14991
11963.7604335,7499
6347.19656548,7988
13450.9501192,13581
16572.3451476,16500
15026.2078727,13988
15483.71658,16500
11317.5931688,9994
15512.6804236,16400
14936.3375612,14991
16944.0771944,17000
15985.6477127,15981
13622.3204687,13991
7123.62692078,5500
9640.41679528,8363
17463.6062803,15981
12832.6693109,10495
11615.3549654,13991
7033.64507207,5460
